person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ann_score,risk_score_tahap3,predicted_tahap3
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.08308998834352846,0.5,1
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.8945680602029065,0.8093806294477919,1
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.9015484260006789,0.5,1
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.8933744831166871,0.8236972410307427,1
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.12091780375194576,0.5,1
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.7800967652580796,0.8093806294477919,1
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.7458280275850271,0.8236972410307427,1
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.6791326461859852,0.5,1
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.34613848414923154,0.5000000000000006,1
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.6941519212466204,0.8174973872833485,1
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.7177256308358789,0.5,1
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.6017019705904967,0.5,1
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.819622282251421,0.6184194533806452,1
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.3099925731781579,0.4948320897743116,0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.0683393238650129,0.39284846136147344,0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.2610831714699641,0.4686500516246339,0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.8901245596536776,0.670420231501077,1
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.798465464577471,0.6184194533806452,1
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.10499784516346715,0.5,1
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.09018559523384644,0.17630275896925715,0
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.6107331196870037,0.5,1
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.9377987666147998,0.8236972410307427,1
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.05099785386206312,0.19061937055220915,0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.7891898542659013,0.820301399025819,1
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.8273355266719776,0.8093806294477919,1
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.8994797508387186,0.8093806294477919,1
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.06355473496011484,0.39284846136147344,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.8010490902052357,0.8093806294477919,1
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.6459408535581654,0.5,1
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.10384407863612004,0.39284846136147344,0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.14616060706535755,0.5,1
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.6424616778116892,0.5000000000000006,1
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.2065407074830868,0.5000000000000006,1
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.16089428540006345,0.4999999999999998,0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.08296831663133536,0.17630275896925715,0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.9741458279282981,0.5,1
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.8391844642805503,0.8093806294477919,1
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.8554948259218587,0.7752187684712174,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,0.7180342725358908,0.820301399025819,1
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.9032979419296134,0.5,1
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.16745181328348221,0.5000000000000006,1
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.04346659350676559,0.17630275896925715,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.6255456895478586,0.5,1
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.058986525303682216,0.3815805466193539,0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.39381215996337743,0.5000000000000006,1
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.5292151638069823,0.5000000000000006,1
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.6045353742735223,0.574162971266634,1
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.6891656674480918,0.6031664890535673,1
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.47768484383854765,0.5000000000000006,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,0.6580208032939089,0.5683668906661529,1
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.8924650267907018,0.6071515386385268,1
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.7033716712502679,0.5000000000000006,1
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.44570347761042606,0.5,1
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.1301561018642599,0.38629878704492043,0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.4707838567173128,0.5000000000000006,1
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.0788488159403991,0.39284846136147344,0
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.08080676995868533,0.40478154326605403,0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.09649863034119971,0.35433042272431003,0
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0.09450176380742822,0.39284846136147344,0
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.082318868731662,0.35433042272431003,0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.08664196886691018,0.5,1
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.06578784991950669,0.40478154326605403,0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.4556738472572189,0.5,1
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.8516065120443411,0.8093806294477919,1
